Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		58.39mV
Average              :		-0.192mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		4.00000uS

index		CH1_Voltage(mV)
559		-5.662500
560		-6.375000
561		-5.312500
562		-5.787500
563		-5.612500
564		-5.662500
565		-6.250000
566		-5.662500
567		-5.787500
568		-6.250000
569		-5.837500
570		-6.550000
571		-6.550000
572		-6.900000
573		-6.962500
574		-7.312500
575		-7.962500
576		-7.662500
577		-8.075000
578		-7.662500
579		-8.487500
580		-8.837500
581		-8.375000
582		-9.012500
583		-8.200000
584		-9.487500
585		-9.075000
586		-9.599999
587		-10.137500
588		-9.137500
589		-10.312500
590		-9.962500
591		-9.787499
592		-9.787499
593		-10.200000
594		-10.375000
595		-10.075000
596		-10.425000
597		-10.375000
598		-10.487500
599		-10.375000
600		-9.962500
601		-10.787499
602		-10.075000
603		-11.075000
604		-10.487500
605		-10.837500
606		-10.900000
607		-10.425000
608		-10.962500
609		-9.787499
610		-11.312500
611		-10.075000
612		-10.599999
613		-10.599999
614		-10.375000
615		-10.487500
616		-10.012500
617		-10.375000
618		-9.662499
619		-10.075000
620		-10.250000
621		-9.200000
622		-9.962500
623		-9.137500
624		-8.900000
625		-8.837500
626		-8.425000
627		-8.487500
628		-8.425000
629		-8.425000
630		-7.962500
631		-7.962500
632		-8.200000
633		-7.375000
634		-7.250000
635		-7.837500
636		-7.425000
637		-7.025000
638		-7.250000
639		-6.612500
640		-7.425000
641		-6.662500
642		-6.787500
643		-7.137500
644		-6.612500
645		-7.312500
646		-7.075000
647		-7.075000
648		-7.612500
649		-7.612500
650		-7.487500
651		-7.550000
652		-7.837500
653		-7.962500
654		-8.312500
655		-8.137500
656		-8.550000
657		-7.962500
658		-7.962500
659		-8.137500
660		-7.662500
661		-8.075000
662		-8.075000
663		-7.787500
664		-7.725000
665		-7.200000
666		-8.012500
667		-7.662500
668		-7.662500
669		-7.375000
670		-6.787500
671		-6.962500
672		-6.725000
673		-6.662500
674		-6.725000
675		-5.837500
676		-5.900000
677		-5.962500
678		-5.200000
679		-5.662500
680		-4.612500
681		-5.437500
682		-4.725000
683		-4.437500
684		-5.200000
685		-4.662500
686		-5.312500
687		-4.612500
688		-5.375000
689		-4.312500
690		-4.787500
691		-5.250000
692		-4.900000
693		-5.900000
694		-5.025000
695		-5.437500
696		-6.075000
697		-5.962500
698		-6.487500
699		-6.137500
700		-6.662500
701		-6.200000
702		-7.025000
703		-6.962500
704		-7.375000
705		-8.137500
706		-7.487500
707		-8.250000
708		-8.075000
709		-8.425000
710		-7.425000
711		-8.137500
712		-7.612500
713		-7.837500
714		-8.312500
715		-7.375000
716		-7.962500
717		-7.487500
718		-7.075000
719		-7.837500
720		-6.550000
721		-7.312500
722		-6.200000
723		-6.250000
724		-6.725000
725		-6.200000
