Channel              :		CH1
Frequency            :		50.76Hz
Period               :		19.70ms
PK-PK                :		33.34mV
Average              :		-0.032mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		10.00000uS

index		CH1_Voltage(mV)
787		0.275000
788		1.087500
789		1.500000
790		1.387500
791		2.037500
792		1.500000
793		1.212500
794		0.625000
795		-0.087500
796		-0.200000
797		-1.262500
798		-1.612500
799		-1.312500
800		-1.675000
801		-1.487500
802		-0.900000
803		-0.962500
804		-1.200000
805		-0.850000
806		-1.550000
807		-2.200000
808		-3.025000
809		-4.487500
810		-5.312500
811		-6.612500
812		-7.250000
813		-8.612500
814		-8.900000
815		-9.250000
816		-9.599999
817		-8.962500
818		-9.724999
819		-9.787499
820		-10.375000
821		-10.487500
822		-10.312500
823		-10.487500
824		-11.187500
825		-10.900000
826		-11.487500
827		-11.900000
828		-11.187500
829		-10.962500
830		-11.250000
831		-10.137500
832		-9.662499
833		-8.724999
834		-8.312500
835		-7.487500
836		-6.137500
837		-5.962500
838		-5.787500
839		-5.312500
840		-5.662500
841		-5.487500
842		-5.900000
843		-6.025000
844		-6.250000
845		-6.075000
846		-5.962500
847		-7.025000
848		-6.487500
849		-5.900000
850		-6.250000
851		-6.250000
852		-4.725000
853		-5.250000
854		-5.662500
855		-5.025000
856		-5.137500
857		-5.312500
858		-6.075000
859		-6.250000
860		-6.075000
861		-5.900000
862		-6.787500
863		-6.375000
864		-5.962500
865		-5.375000
866		-5.725000
867		-5.312500
868		-4.375000
869		-4.725000
870		-4.612500
871		-4.487500
872		-4.200000
873		-4.900000
874		-5.025000
875		-5.962500
876		-5.250000
877		-5.550000
878		-6.787500
879		-7.425000
880		-8.250000
881		-8.962500
882		-9.900000
883		-10.312500
884		-10.662499
885		-10.312500
886		-11.250000
887		-11.775000
888		-11.662499
889		-11.425000
890		-11.375000
891		-10.487500
892		-9.900000
893		-9.724999
894		-9.200000
895		-8.550000
896		-7.837500
897		-7.550000
898		-6.787500
899		-6.662500
900		-6.250000
901		-5.962500
902		-5.787500
903		-5.725000
904		-4.900000
905		-3.787500
906		-2.962500
907		-3.312500
908		-2.612500
909		-2.262500
910		-2.375000
911		-1.850000
912		-1.262500
913		-0.962500
914		-1.675000
915		-0.487500
916		-0.025000
917		0.325000
918		1.150000
919		1.275000
920		2.450000
921		2.325000
922		2.562500
923		1.912500
924		2.450000
925		2.500000
926		2.037500
927		1.687500
928		0.687500
929		1.562500
930		0.275000
931		-0.312500
932		-0.437500
933		-1.675000
934		-3.200000
935		-3.550000
936		-4.487500
937		-4.900000
938		-6.075000
939		-6.375000
940		-6.662500
941		-7.137500
942		-7.137500
943		-7.025000
944		-6.375000
945		-6.487500
946		-6.200000
947		-5.837500
948		-5.487500
949		-4.962500
950		-4.137500
951		-3.900000
952		-3.662500
953		-3.137500
954		-3.437500
955		-2.725000
956		-2.725000
957		-3.137500
958		-2.850000
959		-3.200000
960		-2.137500
961		-2.550000
962		-2.375000
963		-2.437500
964		-2.075000
965		-2.312500
966		-3.312500
967		-2.075000
968		-2.900000
969		-2.725000
970		-2.900000
971		-3.025000
972		-3.075000
973		-2.962500
974		-3.375000
975		-2.675000
976		-2.487500
977		-2.550000
978		-1.962500
979		-1.962500
980		-1.375000
981		-1.312500
982		-0.787500
983		-1.087500
984		-1.087500
985		-0.900000
986		-1.312500
987		-1.200000
988		-1.962500
989		-2.075000
990		-2.262500
991		-2.850000
992		-3.550000
993		-3.550000
994		-3.550000
995		-3.550000
996		-4.437500
997		-4.200000
998		-4.025000
999		-3.850000
1000		-4.025000
1001		-3.900000
1002		-3.850000
1003		-4.025000
1004		-3.850000
1005		-3.137500
1006		-3.200000
1007		-3.262500
1008		-3.725000
1009		-3.262500
1010		-2.850000
1011		-3.262500
1012		-3.375000
1013		-3.312500
1014		-3.900000
1015		-3.312500
1016		-4.612500
1017		-4.850000
1018		-4.437500
1019		-4.850000
1020		-5.612500
1021		-5.375000
1022		-4.612500
1023		-5.137500
1024		-5.787500
1025		-4.900000
1026		-4.900000
1027		-4.612500
1028		-3.850000
1029		-3.725000
1030		-2.675000
1031		-2.850000
1032		-2.675000
1033		-1.487500
1034		-0.962500
1035		-1.025000
1036		-0.787500
1037		-1.200000
1038		-0.437500
1039		0.150000
1040		-0.087500
1041		0.450000
1042		0.687500
1043		0.975000
1044		0.862500
1045		0.737500
1046		0.737500
1047		0.562500
1048		0.212500
1049		0.212500
1050		0.500000
1051		0.862500
1052		-0.312500
1053		-0.675000
1054		-0.262500
1055		-0.550000
1056		-0.787500
1057		-1.200000
1058		-0.612500
1059		-1.787500
1060		-2.075000
1061		-2.200000
1062		-1.787500
1063		-1.550000
1064		-2.137500
1065		-2.137500
1066		-2.375000
1067		-2.437500
1068		-2.725000
1069		-2.612500
1070		-2.550000
1071		-2.137500
1072		-2.375000
1073		-2.375000
1074		-1.375000
1075		-1.550000
1076		-1.675000
1077		-1.787500
1078		-1.262500
1079		-0.962500
1080		-0.787500
1081		-0.200000
1082		0.100000
1083		-0.200000
1084		0.862500
1085		1.562500
1086		1.800000
1087		1.450000
1088		1.862500
1089		2.387500
1090		2.275000
1091		3.150000
1092		2.912500
1093		2.675000
1094		2.675000
1095		3.450000
1096		3.562500
1097		2.450000
1098		2.975000
1099		3.212500
1100		2.500000
1101		2.037500
1102		3.150000
1103		2.675000
1104		2.450000
1105		2.087500
1106		1.687500
1107		1.625000
1108		1.687500
1109		1.500000
1110		1.387500
1111		1.625000
1112		1.212500
1113		1.687500
1114		1.625000
1115		1.150000
1116		0.212500
1117		0.500000
1118		0.625000
1119		0.737500
1120		-0.087500
1121		-0.137500
1122		-0.375000
1123		-0.675000
1124		-0.437500
1125		-0.375000
1126		-0.612500
1127		-1.087500
1128		-0.612500
1129		-0.675000
1130		-0.675000
1131		-0.725000
1132		-1.437500
1133		-0.787500
1134		-0.487500
1135		-0.487500
1136		-0.900000
1137		-0.087500
1138		-0.675000
1139		-0.375000
1140		-0.787500
1141		-0.312500
1142		0.275000
1143		0.387500
1144		0.500000
1145		0.212500
1146		0.912500
1147		1.087500
1148		1.275000
1149		1.562500
1150		2.275000
1151		2.737500
1152		2.675000
1153		3.150000
1154		3.800000
1155		4.037500
1156		4.087500
1157		4.625000
1158		4.325000
1159		4.562500
1160		4.262500
1161		4.387500
1162		4.087500
1163		5.262500
1164		4.500000
1165		5.150000
1166		4.625000
1167		4.212500
1168		4.087500
1169		4.625000
1170		4.212500
1171		3.800000
1172		4.037500
1173		3.150000
1174		3.912500
1175		3.212500
1176		3.212500
1177		2.450000
1178		2.037500
1179		1.687500
1180		1.862500
1181		1.087500
1182		1.150000
1183		1.687500
1184		0.862500
1185		0.975000
1186		1.275000
1187		1.562500
1188		1.275000
1189		0.275000
1190		0.800000
1191		1.275000
1192		0.500000
1193		0.387500
1194		0.975000
1195		1.325000
1196		1.275000
1197		1.450000
1198		0.862500
1199		0.500000
1200		0.562500
1201		0.387500
1202		-0.025000
1203		0.150000
1204		0.325000
1205		0.562500
1206		0.975000
1207		0.862500
1208		0.975000
1209		1.562500
1210		1.562500
1211		1.687500
1212		1.087500
1213		1.150000
1214		1.150000
1215		0.687500
1216		0.625000
1217		0.100000
1218		0.275000
1219		0.037500
1220		-0.312500
1221		0.212500
1222		-0.137500
1223		0.212500
1224		0.037500
1225		-0.087500
1226		0.500000
1227		0.387500
1228		0.325000
1229		0.387500
1230		0.325000
1231		0.862500
1232		0.387500
1233		-0.137500
1234		0.212500
1235		-0.025000
1236		-0.025000
1237		0.212500
1238		-0.025000
1239		-0.487500
1240		-0.437500
1241		-0.087500
1242		-0.850000
1243		-0.675000
1244		0.100000
1245		0.562500
1246		0.500000
1247		0.975000
1248		0.975000
1249		0.800000
1250		0.737500
1251		1.150000
1252		0.975000
1253		0.975000
1254		1.387500
1255		1.500000
1256		2.862500
1257		2.912500
1258		2.912500
1259		3.150000
1260		3.275000
1261		4.037500
1262		3.325000
1263		3.500000
1264		3.450000
1265		4.450000
1266		4.325000
1267		4.450000
1268		4.262500
1269		4.212500
1270		3.450000
1271		2.450000
1272		2.325000
1273		1.625000
1274		0.450000
1275		-0.487500
1276		0.100000
1277		-1.087500
1278		-1.087500
1279		-1.962500
1280		-2.075000
1281		-1.550000
1282		-2.312500
1283		-1.850000
1284		-1.375000
1285		-1.087500
1286		-0.962500
1287		-0.312500
1288		-0.725000
1289		0.562500
1290		1.387500
1291		1.737500
1292		1.737500
1293		2.500000
1294		2.912500
1295		2.562500
1296		2.625000
1297		3.150000
1298		4.262500
1299		3.562500
1300		3.737500
1301		3.912500
1302		3.675000
1303		3.150000
1304		2.675000
1305		2.275000
1306		2.275000
1307		2.562500
1308		0.687500
1309		0.800000
1310		0.687500
1311		0.325000
1312		-0.612500
1313		0.387500
1314		0.975000
1315		0.500000
1316		-0.137500
1317		1.562500
1318		1.687500
1319		1.212500
1320		1.912500
1321		3.150000
1322		3.325000
1323		2.450000
1324		2.325000
1325		3.737500
1326		4.262500
1327		2.975000
1328		3.325000
1329		3.800000
1330		3.912500
1331		2.625000
1332		2.325000
1333		3.275000
1334		2.737500
1335		2.087500
1336		1.150000
1337		1.275000
1338		1.037500
1339		0.275000
1340		-1.262500
1341		-1.200000
1342		-1.612500
1343		-2.550000
1344		-3.662500
1345		-3.900000
1346		-3.962500
1347		-4.612500
1348		-5.075000
1349		-5.137500
1350		-3.550000
1351		-3.725000
1352		-3.850000
1353		-2.725000
1354		0.275000
1355		0.100000
1356		0.562500
1357		2.862500
1358		3.675000
1359		3.862500
1360		4.387500
1361		5.975000
1362		5.800000
1363		6.437500
1364		5.800000
1365		6.912500
1366		8.025001
1367		7.912500
1368		7.437500
1369		8.975000
1370		8.500000
1371		7.912500
1372		8.025001
1373		8.737500
1374		8.025001
1375		6.500000
1376		6.562500
1377		6.387500
1378		4.675000
1379		3.625000
1380		3.150000
1381		2.325000
1382		3.150000
1383		1.500000
1384		0.450000
1385		1.500000
1386		1.800000
1387		1.087500
1388		1.450000
1389		2.862500
1390		3.325000
1391		3.737500
1392		4.087500
1393		5.562500
1394		5.675000
1395		5.975000
1396		6.850000
1397		7.037500
1398		6.737500
1399		6.387500
1400		6.087500
1401		5.975000
1402		5.212500
1403		4.325000
1404		4.037500
1405		3.562500
1406		2.275000
1407		2.150000
1408		1.450000
1409		1.862500
1410		0.387500
1411		-0.087500
1412		-0.675000
1413		-0.787500
1414		-2.312500
1415		-2.025000
1416		-2.375000
1417		-2.725000
1418		-2.487500
1419		-2.550000
1420		-1.787500
1421		-1.725000
1422		-0.612500
1423		-0.137500
1424		1.562500
1425		2.975000
1426		4.037500
1427		3.737500
1428		5.387500
1429		6.562500
1430		6.387500
1431		6.675000
1432		7.387500
1433		7.625000
1434		7.087500
1435		7.912500
1436		7.562500
1437		7.437500
1438		6.737500
1439		6.437500
1440		6.325000
1441		6.325000
1442		5.150000
1443		5.212500
1444		5.387500
1445		3.912500
1446		4.037500
1447		3.387500
1448		3.800000
1449		2.737500
1450		3.037500
1451		3.212500
1452		3.037500
1453		2.675000
1454		2.625000
1455		2.150000
1456		2.737500
1457		2.675000
1458		2.387500
1459		3.625000
1460		3.037500
1461		3.800000
1462		3.037500
1463		4.387500
1464		4.500000
1465		4.800000
1466		3.800000
1467		4.675000
1468		4.912500
1469		4.150000
1470		3.862500
1471		3.912500
1472		3.737500
1473		2.912500
1474		2.450000
1475		2.087500
1476		2.087500
1477		1.737500
1478		1.862500
1479		1.562500
1480		1.500000
1481		1.087500
1482		1.087500
1483		1.687500
1484		1.687500
1485		0.562500
1486		0.975000
1487		2.150000
1488		0.500000
1489		0.975000
1490		1.325000
1491		2.625000
1492		2.150000
1493		2.037500
1494		3.037500
1495		3.912500
1496		3.800000
1497		3.800000
1498		5.500000
1499		5.975000
1500		6.212500
1501		5.450000
1502		6.387500
1503		6.387500
1504		6.850000
1505		6.037500
1506		5.500000
1507		5.975000
1508		5.975000
1509		5.037500
1510		4.800000
1511		4.387500
1512		4.212500
1513		3.325000
1514		2.912500
1515		3.325000
1516		2.800000
1517		2.912500
1518		2.675000
1519		2.450000
1520		1.562500
1521		1.387500
1522		1.087500
1523		1.087500
1524		1.387500
1525		0.862500
1526		0.562500
1527		0.912500
1528		0.562500
1529		0.275000
1530		0.562500
1531		1.150000
1532		1.687500
1533		1.037500
1534		1.737500
1535		3.087500
1536		2.862500
1537		2.912500
1538		2.675000
1539		2.912500
1540		2.800000
1541		2.450000
1542		2.625000
1543		2.450000
1544		2.737500
1545		1.862500
1546		1.912500
1547		2.212500
1548		1.625000
1549		2.087500
1550		2.275000
1551		2.912500
1552		2.150000
1553		2.625000
1554		3.325000
1555		4.325000
1556		3.912500
1557		4.450000
1558		4.912500
1559		5.387500
1560		5.562500
1561		6.087500
1562		6.437500
1563		7.150000
1564		7.675000
1565		8.212501
1566		8.212501
1567		8.325000
1568		8.737500
1569		8.612500
1570		8.912500
1571		8.912500
1572		8.675000
1573		8.500000
1574		8.500000
1575		8.437500
1576		8.675000
1577		8.387500
1578		8.150001
1579		7.800000
1580		7.737500
1581		7.912500
1582		7.437500
1583		7.625000
1584		6.975000
1585		7.212500
1586		6.087500
1587		6.387500
1588		6.262500
1589		5.625000
1590		5.262500
1591		4.975000
1592		4.500000
1593		4.500000
1594		4.387500
1595		4.387500
1596		4.675000
1597		4.325000
1598		3.975000
1599		4.450000
1600		4.087500
1601		4.500000
1602		4.737500
1603		4.450000
1604		5.087500
1605		4.850000
1606		5.387500
1607		6.212500
1608		5.562500
1609		5.675000
1610		5.850000
1611		6.087500
1612		6.387500
1613		6.675000
1614		6.737500
1615		6.562500
1616		6.625000
1617		7.037500
1618		6.975000
1619		6.675000
1620		7.087500
1621		7.262500
1622		7.150000
1623		7.262500
1624		6.975000
1625		7.150000
1626		6.387500
1627		6.850000
1628		6.087500
1629		6.437500
1630		6.087500
1631		6.212500
1632		6.325000
1633		6.150000
1634		5.625000
1635		5.625000
1636		5.912500
1637		5.850000
1638		5.912500
1639		5.262500
1640		4.675000
1641		5.562500
1642		4.625000
1643		4.625000
1644		4.500000
1645		3.562500
1646		3.150000
1647		3.500000
1648		3.150000
1649		2.975000
1650		2.387500
1651		2.387500
1652		1.687500
1653		2.275000
1654		1.862500
1655		1.975000
1656		2.212500
1657		2.800000
1658		2.737500
1659		2.737500
1660		3.387500
1661		3.500000
1662		4.037500
1663		3.625000
1664		4.037500
1665		3.862500
1666		4.562500
1667		4.675000
1668		4.325000
1669		4.800000
1670		4.387500
1671		4.675000
1672		4.800000
1673		4.325000
1674		4.675000
1675		4.087500
1676		3.675000
1677		4.500000
1678		4.212500
1679		2.975000
1680		3.387500
1681		3.500000
1682		3.212500
1683		2.912500
1684		2.737500
1685		2.562500
1686		2.912500
1687		3.212500
1688		3.450000
1689		3.800000
1690		3.800000
1691		4.625000
1692		5.037500
1693		5.387500
1694		6.087500
1695		5.562500
1696		5.850000
1697		7.037500
1698		6.150000
1699		6.675000
1700		6.625000
1701		6.800000
1702		6.850000
1703		7.037500
1704		6.562500
1705		7.037500
1706		6.800000
1707		6.675000
1708		6.087500
1709		6.437500
1710		6.625000
1711		7.262500
1712		6.850000
1713		7.037500
1714		7.150000
1715		6.912500
1716		6.975000
1717		7.325000
1718		7.325000
1719		7.500000
1720		6.850000
1721		6.737500
1722		6.387500
1723		5.212500
1724		4.737500
1725		4.387500
1726		4.212500
1727		3.562500
1728		3.325000
1729		3.387500
1730		4.087500
1731		4.387500
1732		4.625000
1733		5.500000
1734		6.262500
1735		6.262500
1736		6.325000
1737		6.150000
1738		6.087500
1739		4.800000
1740		4.387500
1741		4.212500
1742		4.087500
1743		4.037500
